County,State,Year Structure Built: 2000+,Year Structure Built: 1990 to 1999,Year Structure Built: 1980 to 1989,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available
Limestone County,Alabama,20.7%,19.7%,18.6%,26.0%,10.3%,4.6%,4.3%,27.8%,39.4%,28.6%
Lowndes County,Alabama,8.1%,24.9%,21.8%,34.0%,5.1%,6.1%,12.8%,33.4%,30.4%,23.5%
Macon County,Alabama,10.1%,16.2%,20.9%,35.4%,12.5%,5.0%,13.0%,39.0%,30.4%,17.6%
Madison County,Alabama,18.1%,19.9%,17.1%,31.8%,10.4%,2.8%,5.2%,31.5%,38.6%,24.7%
Marengo County,Alabama,4.3%,19.2%,18.8%,35.3%,14.8%,7.7%,11.8%,33.9%,35.7%,18.6%
Marion County,Alabama,6.1%,20.1%,16.0%,37.6%,15.2%,5.0%,5.8%,30.2%,34.7%,29.3%
Marshall County,Alabama,12.4%,20.9%,17.1%,30.6%,14.0%,5.1%,6.0%,29.1%,37.4%,27.5%
Mobile County,Alabama,11.6%,14.2%,14.8%,35.6%,18.3%,5.5%,7.0%,34.6%,37.5%,21.0%
Monroe County,Alabama,6.6%,18.6%,20.4%,31.6%,16.5%,6.2%,9.2%,34.5%,34.2%,22.1%
Montgomery County,Alabama,12.1%,16.8%,14.4%,34.2%,16.7%,5.7%,7.9%,37.6%,35.0%,19.5%
Morgan County,Alabama,12.0%,20.7%,18.4%,31.9%,12.1%,4.9%,5.0%,29.3%,38.4%,27.3%
Perry County,Alabama,3.3%,17.7%,12.5%,38.8%,14.6%,13.2%,16.4%,30.6%,30.4%,22.6%
Pickens County,Alabama,8.1%,18.9%,17.5%,34.3%,12.5%,8.6%,12.4%,30.8%,33.0%,23.8%
Pike County,Alabama,12.8%,23.5%,16.2%,29.3%,11.5%,6.8%,9.0%,37.2%,32.7%,21.1%
Randolph County,Alabama,11.0%,22.0%,12.3%,27.0%,17.1%,10.7%,7.0%,29.0%,31.2%,32.8%
Russell County,Alabama,13.0%,17.2%,15.1%,34.3%,14.3%,6.0%,9.9%,38.3%,34.5%,17.3%
St. Clair County,Alabama,17.3%,30.6%,16.5%,21.8%,9.7%,4.1%,3.4%,24.7%,43.3%,28.6%
Shelby County,Alabama,26.3%,31.3%,19.9%,17.6%,3.4%,1.5%,2.1%,26.8%,44.7%,26.4%
Sumter County,Alabama,5.1%,19.3%,17.0%,37.7%,14.8%,6.1%,11.9%,35.5%,36.3%,16.3%
Talladega County,Alabama,12.6%,19.1%,14.9%,27.1%,18.9%,7.4%,7.2%,31.8%,33.8%,27.2%
Tallapoosa County,Alabama,10.7%,19.0%,16.4%,30.5%,14.9%,8.5%,8.8%,29.4%,36.8%,24.9%
Tuscaloosa County,Alabama,20.4%,19.5%,16.8%,28.1%,11.9%,3.4%,7.0%,31.4%,39.8%,21.8%
Walker County,Alabama,11.9%,20.6%,15.3%,31.1%,13.8%,7.2%,6.3%,30.9%,35.4%,27.4%
Washington County,Alabama,7.3%,21.0%,20.3%,34.1%,13.8%,3.4%,5.9%,28.6%,38.8%,26.7%
Wilcox County,Alabama,7.3%,20.8%,17.7%,34.3%,11.6%,8.3%,14.3%,39.0%,27.6%,19.1%
Winston County,Alabama,10.5%,19.6%,15.2%,37.7%,11.0%,6.0%,3.8%,29.2%,36.2%,30.8%
Aleutians East Borough,Alaska,0.0%,15.4%,32.2%,39.0%,12.7%,0.7%,28.8%,39.3%,21.0%,10.9%
Aleutians West Census Area,Alaska,3.8%,19.0%,33.4%,17.7%,19.0%,7.1%,21.9%,39.7%,29.6%,8.8%
Anchorage Municipality,Alaska,11.8%,12.1%,27.5%,40.2%,8.1%,0.3%,6.0%,33.0%,40.8%,20.3%
Bethel Census Area,Alaska,3.6%,15.9%,37.0%,37.6%,4.9%,1.0%,61.9%,17.5%,15.8%,4.7%
Bristol Bay Borough,Alaska,0.0%,33.2%,41.2%,15.4%,7.1%,3.2%,15.9%,26.8%,36.8%,20.5%
Denali Borough,Alaska,10.7%,28.0%,36.7%,14.7%,3.7%,6.1%,2.8%,36.9%,36.4%,23.8%
Dillingham Census Area,Alaska,4.8%,15.0%,40.6%,33.5%,5.3%,0.7%,33.5%,33.2%,24.5%,8.7%
Fairbanks North Star Borough,Alaska,12.6%,11.6%,26.2%,37.6%,11.1%,0.9%,6.0%,31.4%,38.5%,24.1%
Haines Borough,Alaska,17.2%,18.4%,21.6%,26.9%,13.7%,2.2%,6.2%,39.1%,34.1%,20.6%
Hoonah-Angoon Census Area,Alaska,6.8%,17.4%,22.9%,36.3%,10.9%,5.8%,30.6%,35.8%,23.4%,10.3%
Juneau City and Borough,Alaska,7.1%,12.7%,26.8%,35.5%,8.7%,9.2%,9.5%,35.2%,37.9%,17.4%
Kenai Peninsula Borough,Alaska,9.6%,21.6%,30.4%,32.6%,5.1%,0.8%,5.2%,31.4%,41.4%,22.0%
Ketchikan Gateway Borough,Alaska,3.2%,11.1%,23.0%,32.7%,17.6%,12.5%,12.3%,36.5%,34.2%,17.1%
Kodiak Island Borough,Alaska,9.7%,10.3%,28.8%,35.2%,13.7%,2.3%,13.9%,35.5%,33.6%,17.0%
Lake and Peninsula Borough,Alaska,6.9%,20.7%,32.5%,27.2%,10.4%,2.2%,53.5%,27.4%,14.0%,5.1%
Matanuska-Susitna Borough,Alaska,23.6%,18.4%,32.9%,21.4%,3.1%,0.6%,3.3%,23.7%,40.6%,32.3%
Nome Census Area,Alaska,4.8%,18.2%,23.8%,40.3%,8.0%,4.9%,54.5%,31.8%,10.6%,3.1%
North Slope Borough,Alaska,3.7%,19.4%,37.5%,33.8%,3.5%,2.2%,51.8%,32.3%,14.9%,1.0%
Northwest Arctic Borough,Alaska,1.6%,22.0%,32.4%,37.0%,6.2%,0.8%,70.8%,22.3%,5.6%,1.3%
Petersburg Census Area,Alaska,7.4%,17.6%,18.0%,35.7%,8.7%,12.6%,11.2%,32.7%,41.0%,15.1%
Prince of Wales-Hyder Census Area,Alaska,3.6%,23.6%,30.1%,30.3%,4.2%,8.2%,14.3%,36.9%,35.8%,13.0%
Sitka City and Borough,Alaska,6.9%,16.0%,21.9%,38.7%,12.3%,4.2%,10.4%,35.6%,42.4%,11.5%
Skagway Municipality,Alaska,6.0%,14.2%,19.7%,19.9%,17.6%,22.5%,3.4%,33.2%,43.3%,20.2%
Southeast Fairbanks Census Area,Alaska,4.2%,11.8%,27.3%,37.9%,16.7%,2.1%,5.1%,31.1%,36.2%,27.6%
Valdez-Cordova Census Area,Alaska,4.2%,9.6%,23.5%,48.4%,9.7%,4.6%,6.9%,36.3%,35.2%,21.7%
Wade Hampton Census Area,Alaska,6.1%,16.9%,33.1%,41.7%,1.9%,0.2%,82.9%,12.5%,3.8%,0.8%
Wrangell City and Borough,Alaska,6.5%,16.8%,19.0%,37.9%,9.3%,10.5%,10.4%,41.1%,36.9%,11.5%
Yakutat City and Borough,Alaska,2.7%,24.5%,27.2%,37.4%,8.2%,0.0%,3.9%,52.1%,31.9%,12.1%
Yukon-Koyukuk Census Area,Alaska,5.5%,22.0%,37.4%,28.8%,5.5%,0.9%,49.7%,24.5%,18.4%,7.3%
Apache County,Arizona,7.2%,21.7%,25.5%,35.6%,6.9%,3.1%,12.8%,41.6%,26.6%,18.9%
Cochise County,Arizona,19.4%,19.2%,15.5%,29.9%,9.2%,6.8%,6.4%,32.4%,38.1%,23.2%
Coconino County,Arizona,16.8%,22.3%,24.5%,25.6%,8.3%,2.5%,5.4%,34.0%,37.7%,22.9%
Gila County,Arizona,9.0%,20.4%,20.1%,28.8%,13.5%,8.2%,7.5%,35.0%,37.7%,19.9%
Graham County,Arizona,7.6%,22.3%,15.8%,32.5%,12.9%,8.9%,6.4%,32.9%,35.6%,25.0%
Greenlee County,Arizona,5.8%,6.4%,16.6%,47.3%,12.9%,10.9%,5.9%,21.4%,38.7%,33.9%
La Paz County,Arizona,13.7%,18.6%,20.4%,37.6%,8.9%,0.8%,8.5%,40.2%,36.0%,15.3%
Maricopa County,Arizona,22.8%,22.0%,19.7%,26.6%,7.9%,0.9%,6.3%,37.5%,39.5%,16.7%
Mohave County,Arizona,23.4%,28.0%,22.5%,22.2%,2.9%,1.0%,4.6%,35.8%,39.3%,20.3%
Navajo County,Arizona,12.5%,20.7%,24.2%,31.5%,8.3%,2.9%,9.2%,35.6%,33.7%,21.5%
Pima County,Arizona,17.6%,18.2%,18.2%,31.3%,12.5%,2.2%,8.1%,38.8%,36.4%,16.7%
Pinal County,Arizona,48.5%,18.0%,11.3%,14.5%,6.3%,1.3%,5.6%,34.4%,42.9%,17.1%
Santa Cruz County,Arizona,22.7%,23.4%,15.4%,25.5%,6.9%,6.2%,4.3%,33.4%,38.8%,23.5%
Yavapai County,Arizona,23.9%,25.2%,21.3%,22.5%,4.1%,3.1%,4.8%,35.3%,38.3%,21.5%
Yuma County,Arizona,23.1%,23.2%,17.8%,25.3%,8.7%,1.9%,6.1%,39.5%,35.9%,18.5%
Arkansas County,Arkansas,6.3%,10.9%,14.2%,37.4%,22.2%,9.0%,9.6%,36.7%,38.7%,15.1%
Ashley County,Arkansas,6.4%,13.9%,15.4%,39.9%,19.0%,5.4%,7.5%,35.1%,34.3%,23.2%
Baxter County,Arkansas,15.8%,21.8%,13.8%,36.8%,8.8%,3.0%,4.7%,33.4%,44.1%,17.7%
Benton County,Arkansas,29.3%,25.3%,15.9%,21.4%,4.9%,3.3%,4.1%,30.4%,45.2%,20.2%
Boone County,Arkansas,12.5%,19.3%,16.3%,32.2%,12.9%,6.7%,6.2%,30.8%,38.9%,24.2%
Bradley County,Arkansas,6.7%,14.5%,18.3%,33.4%,20.2%,6.9%,5.0%,38.6%,34.6%,21.8%
Calhoun County,Arkansas,2.8%,23.5%,13.4%,34.6%,20.2%,5.5%,4.2%,35.0%,36.8%,24.0%
Carroll County,Arkansas,15.7%,21.9%,16.0%,24.9%,8.8%,12.7%,3.9%,32.2%,38.6%,25.4%
Chicot County,Arkansas,5.1%,16.5%,18.4%,33.2%,17.6%,9.2%,12.2%,41.0%,29.1%,17.7%
Clark County,Arkansas,9.0%,18.4%,16.2%,33.0%,14.5%,8.8%,8.3%,31.6%,37.2%,23.0%
Clay County,Arkansas,6.9%,9.0%,10.4%,43.8%,20.5%,9.3%,5.8%,39.0%,36.1%,19.1%
Cleburne County,Arkansas,18.0%,22.8%,17.2%,31.1%,6.2%,4.7%,4.1%,33.1%,41.9%,20.8%
Cleveland County,Arkansas,9.4%,20.4%,23.1%,34.7%,8.0%,4.4%,4.7%,32.8%,40.7%,21.8%
Columbia County,Arkansas,10.7%,17.5%,16.6%,26.9%,22.1%,6.3%,9.3%,32.6%,39.4%,18.6%
Conway County,Arkansas,10.1%,15.1%,17.1%,37.6%,13.0%,7.0%,8.6%,32.6%,35.2%,23.6%
Craighead County,Arkansas,16.1%,22.8%,15.1%,29.4%,11.8%,4.8%,7.5%,31.9%,41.7%,18.8%
Crawford County,Arkansas,15.9%,22.5%,17.8%,30.1%,9.0%,4.7%,5.4%,28.7%,42.2%,23.8%
Crittenden County,Arkansas,18.0%,18.0%,15.2%,32.5%,12.8%,3.4%,10.2%,40.0%,32.4%,17.4%
Cross County,Arkansas,7.2%,19.6%,16.5%,32.7%,15.0%,8.9%,8.0%,32.0%,43.2%,16.8%
Dallas County,Arkansas,3.4%,13.1%,19.5%,37.3%,19.3%,7.4%,12.3%,32.2%,38.1%,17.4%
Desha County,Arkansas,3.5%,14.9%,14.9%,44.5%,13.1%,9.0%,12.3%,41.4%,31.3%,15.1%
Drew County,Arkansas,8.4%,21.7%,19.1%,29.7%,15.2%,5.9%,6.1%,33.3%,40.2%,20.4%
Faulkner County,Arkansas,25.6%,27.5%,18.4%,21.0%,4.9%,2.6%,4.5%,30.8%,42.4%,22.3%
Franklin County,Arkansas,11.6%,19.3%,14.2%,34.6%,9.8%,10.5%,5.8%,30.1%,40.7%,23.4%
Fulton County,Arkansas,5.8%,17.3%,17.2%,42.1%,11.2%,6.4%,3.9%,30.1%,39.6%,26.4%
Garland County,Arkansas,13.6%,18.4%,17.4%,31.5%,13.6%,5.5%,7.2%,36.5%,39.2%,17.1%
Grant County,Arkansas,15.4%,25.2%,17.2%,29.1%,9.6%,3.5%,3.9%,22.3%,40.2%,33.5%
Greene County,Arkansas,13.0%,21.4%,15.1%,32.9%,12.3%,5.2%,7.3%,32.7%,39.5%,20.6%
Hempstead County,Arkansas,10.6%,15.8%,21.8%,27.8%,14.3%,9.7%,5.9%,31.7%,38.7%,23.7%
Hot Spring County,Arkansas,10.1%,17.5%,15.0%,32.1%,17.5%,7.9%,5.4%,30.3%,38.4%,25.9%
Howard County,Arkansas,10.5%,14.6%,14.4%,35.3%,17.8%,7.4%,6.9%,32.0%,35.0%,26.1%
Independence County,Arkansas,10.2%,19.4%,19.6%,33.3%,11.2%,6.3%,4.5%,32.1%,40.7%,22.7%
Izard County,Arkansas,5.9%,18.2%,15.0%,47.4%,7.2%,6.2%,4.1%,34.1%,38.3%,23.5%
Jackson County,Arkansas,5.5%,10.0%,14.1%,47.8%,16.3%,6.3%,8.5%,38.7%,34.7%,18.1%
Jefferson County,Arkansas,8.8%,12.0%,15.1%,41.2%,18.7%,4.1%,9.3%,38.0%,33.1%,19.6%
Johnson County,Arkansas,11.0%,20.4%,17.8%,31.3%,12.4%,7.1%,4.9%,40.9%,38.4%,15.8%
Lafayette County,Arkansas,5.1%,14.5%,19.3%,37.1%,13.9%,10.0%,12.6%,32.3%,32.4%,22.8%
Lawrence County,Arkansas,5.5%,13.6%,12.0%,43.1%,17.6%,8.3%,5.0%,34.6%,38.6%,21.8%
Lee County,Arkansas,5.2%,12.8%,16.7%,39.9%,18.2%,7.2%,16.5%,35.6%,31.9%,16.0%
Lincoln County,Arkansas,12.4%,22.2%,20.2%,30.6%,8.6%,6.0%,10.3%,30.9%,30.6%,28.3%
Little River County,Arkansas,7.1%,14.7%,16.2%,47.8%,10.2%,4.1%,7.5%,35.1%,32.4%,25.0%
Logan County,Arkansas,9.0%,17.9%,16.4%,34.2%,10.3%,12.2%,4.4%,31.4%,36.8%,27.4%
Lonoke County,Arkansas,26.9%,26.2%,16.0%,21.8%,6.0%,3.1%,4.2%,29.1%,44.4%,22.3%
Madison County,Arkansas,6.4%,22.4%,15.5%,32.3%,15.4%,8.1%,4.2%,27.5%,38.9%,29.3%
Marion County,Arkansas,8.9%,23.1%,17.8%,34.8%,11.4%,4.0%,3.7%,31.5%,38.1%,26.7%
Miller County,Arkansas,15.4%,17.9%,14.1%,29.2%,16.0%,7.4%,7.1%,33.0%,39.6%,20.4%
Mississippi County,Arkansas,5.9%,13.9%,13.9%,37.0%,22.6%,6.7%,12.4%,37.9%,33.1%,16.5%
Monroe County,Arkansas,5.1%,13.9%,15.2%,43.2%,15.9%,6.7%,13.9%,34.2%,33.6%,18.3%
Montgomery County,Arkansas,8.6%,24.5%,14.8%,33.8%,12.1%,6.2%,4.5%,22.7%,42.7%,30.1%
Nevada County,Arkansas,5.9%,15.5%,16.3%,34.9%,19.6%,7.8%,8.0%,32.6%,35.9%,23.4%
Newton County,Arkansas,7.4%,26.2%,18.5%,29.9%,8.7%,9.3%,7.5%,26.1%,38.3%,28.2%
Ouachita County,Arkansas,6.5%,11.2%,19.0%,32.8%,24.0%,6.5%,9.1%,40.4%,33.9%,16.6%
Perry County,Arkansas,7.3%,26.9%,19.9%,34.0%,6.4%,5.6%,4.7%,27.4%,41.6%,26.3%
Phillips County,Arkansas,5.1%,11.2%,10.5%,51.2%,14.7%,7.2%,15.4%,37.3%,30.8%,16.4%
Pike County,Arkansas,8.4%,20.7%,12.3%,37.9%,12.0%,8.8%,5.1%,28.9%,41.8%,24.2%
Poinsett County,Arkansas,9.7%,17.8%,13.1%,36.7%,16.3%,6.4%,7.8%,34.8%,39.5%,17.9%
Polk County,Arkansas,11.6%,19.4%,16.7%,34.3%,10.7%,7.2%,3.9%,28.6%,40.9%,26.6%
Pope County,Arkansas,15.6%,23.6%,23.0%,27.8%,6.8%,3.1%,4.2%,30.3%,42.4%,23.0%
Prairie County,Arkansas,5.6%,9.6%,17.4%,39.0%,16.2%,12.2%,6.5%,28.2%,44.9%,20.5%
Pulaski County,Arkansas,11.9%,12.2%,17.3%,38.2%,15.1%,5.3%,7.4%,39.0%,38.2%,15.4%
Randolph County,Arkansas,9.9%,11.6%,15.9%,38.7%,18.7%,5.1%,6.1%,30.9%,40.7%,22.3%
St. Francis County,Arkansas,9.0%,15.3%,18.3%,37.0%,14.7%,5.6%,12.2%,41.8%,29.4%,16.7%
Saline County,Arkansas,25.9%,24.6%,16.1%,24.5%,7.9%,1.1%,4.2%,28.1%,46.2%,21.6%
Scott County,Arkansas,7.5%,14.4%,18.1%,34.7%,17.4%,7.9%,5.8%,26.8%,42.7%,24.7%
Searcy County,Arkansas,4.5%,20.1%,15.4%,36.0%,12.3%,11.8%,8.2%,30.7%,34.5%,26.5%
Sebastian County,Arkansas,10.3%,15.2%,16.1%,34.1%,16.9%,7.5%,6.5%,36.2%,38.3%,19.0%
Sevier County,Arkansas,8.7%,15.5%,20.9%,35.5%,13.3%,6.2%,5.0%,34.7%,38.4%,21.9%
Sharp County,Arkansas,9.3%,17.2%,16.0%,44.8%,9.9%,2.7%,5.1%,34.6%,39.4%,20.9%
Stone County,Arkansas,13.5%,23.3%,21.1%,25.0%,13.0%,4.1%,7.8%,30.1%,42.2%,19.9%
Union County,Arkansas,7.4%,13.9%,16.3%,30.5%,24.8%,7.2%,8.6%,36.4%,36.2%,18.7%
Van Buren County,Arkansas,5.8%,22.9%,22.8%,33.3%,10.9%,4.2%,6.4%,33.9%,37.7%,22.0%
Washington County,Arkansas,23.8%,24.3%,15.3%,24.3%,7.7%,4.7%,5.4%,34.6%,40.3%,19.7%
White County,Arkansas,17.4%,22.5%,18.0%,29.1%,8.7%,4.2%,5.1%,30.7%,40.2%,24.0%
Woodruff County,Arkansas,5.6%,16.5%,9.5%,41.0%,18.1%,9.2%,13.4%,34.4%,34.9%,17.4%
Yell County,Arkansas,11.9%,19.8%,18.7%,32.9%,10.7%,6.0%,4.5%,31.9%,36.1%,27.5%
Alameda County,California,6.3%,8.2%,11.4%,30.3%,23.2%,20.5%,10.2%,34.0%,35.3%,20.5%
Alpine County,California,9.8%,16.1%,22.7%,36.8%,10.0%,4.6%,1.7%,26.1%,42.7%,29.5%
Amador County,California,15.2%,16.5%,20.1%,30.2%,8.3%,9.8%,4.0%,23.8%,39.2%,33.0%
Butte County,California,9.7%,13.5%,18.4%,34.5%,16.5%,7.4%,7.1%,31.7%,37.4%,23.8%
Calaveras County,California,14.2%,20.6%,23.9%,25.9%,8.7%,6.7%,3.5%,22.6%,39.1%,34.8%
Colusa County,California,14.3%,13.2%,14.0%,24.1%,18.4%,16.0%,6.8%,28.3%,39.5%,25.5%
Contra Costa County,California,11.1%,11.8%,17.0%,34.7%,21.0%,4.4%,5.5%,29.0%,39.5%,26.0%
Del Norte County,California,10.3%,16.3%,19.1%,29.1%,19.9%,5.2%,7.5%,41.0%,30.4%,21.1%
El Dorado County,California,16.6%,18.1%,22.1%,32.0%,8.6%,2.6%,3.3%,22.8%,41.5%,32.4%
Fresno County,California,13.5%,15.2%,15.3%,30.8%,18.5%,6.7%,9.0%,33.3%,37.4%,20.2%
Glenn County,California,8.7%,11.2%,13.1%,30.0%,23.4%,13.5%,5.8%,27.8%,36.6%,29.8%
Humboldt County,California,7.7%,12.8%,13.7%,28.1%,23.0%,14.7%,6.4%,34.5%,38.7%,20.4%
Imperial County,California,21.0%,14.6%,15.7%,28.9%,15.7%,4.0%,10.3%,32.1%,33.8%,23.8%
Inyo County,California,5.8%,10.1%,15.3%,39.8%,20.1%,8.9%,7.1%,31.5%,36.5%,24.9%
Kern County,California,17.4%,15.4%,18.0%,26.3%,17.7%,5.3%,7.4%,30.9%,37.7%,23.9%
Kings County,California,16.9%,20.9%,14.9%,26.4%,14.5%,6.3%,6.5%,29.3%,40.1%,24.2%
Lake County,California,11.9%,12.1%,19.6%,36.5%,14.5%,5.4%,6.3%,31.7%,34.5%,27.6%
Lassen County,California,10.2%,14.1%,16.1%,25.2%,20.4%,14.1%,6.3%,28.0%,32.6%,33.1%
Los Angeles County,California,4.6%,6.1%,11.8%,29.7%,32.9%,14.9%,9.5%,34.7%,35.3%,20.5%
Madera County,California,20.3%,18.4%,17.7%,26.3%,12.4%,4.9%,5.6%,28.2%,38.6%,27.6%
Marin County,California,5.0%,6.6%,10.4%,38.9%,26.5%,12.6%,5.1%,34.1%,41.5%,19.3%
Mariposa County,California,11.0%,16.1%,23.3%,30.6%,14.3%,4.8%,4.4%,27.4%,37.3%,30.9%
Mendocino County,California,8.1%,12.2%,16.5%,33.4%,19.7%,10.1%,6.4%,33.0%,36.1%,24.5%
Merced County,California,17.6%,16.0%,16.2%,28.3%,16.4%,5.5%,7.9%,29.5%,38.9%,23.7%
Modoc County,California,5.1%,9.3%,18.3%,29.0%,20.9%,17.3%,7.6%,29.6%,38.3%,24.5%
Mono County,California,10.7%,14.2%,14.0%,48.0%,9.3%,3.9%,5.4%,33.6%,34.6%,26.5%
Monterey County,California,8.5%,12.2%,14.5%,37.2%,20.7%,7.0%,6.4%,31.1%,37.1%,25.4%
Napa County,California,11.9%,10.8%,14.0%,34.7%,19.3%,9.2%,5.4%,29.4%,39.3%,26.0%
Nevada County,California,11.0%,15.9%,25.4%,33.6%,7.5%,6.6%,3.9%,26.0%,40.3%,29.8%
Orange County,California,8.0%,11.7%,16.0%,46.0%,15.8%,2.5%,4.7%,28.8%,41.5%,25.0%
Placer County,California,29.0%,22.2%,17.1%,21.1%,7.1%,3.4%,3.8%,27.1%,42.9%,26.2%
Plumas County,California,8.5%,14.2%,17.5%,31.7%,16.1%,11.9%,4.3%,30.9%,37.8%,26.9%
Riverside County,California,25.6%,17.2%,22.4%,23.8%,8.9%,2.0%,4.6%,29.8%,39.4%,26.2%
Sacramento County,California,14.3%,12.7%,17.0%,32.6%,18.3%,5.2%,7.2%,34.3%,37.9%,20.5%
San Benito County,California,9.9%,26.8%,19.5%,23.2%,10.8%,9.8%,4.8%,21.9%,36.2%,37.1%
San Bernardino County,California,13.8%,13.6%,24.7%,28.9%,15.5%,3.5%,5.1%,27.6%,37.7%,29.5%
